latitudine,longitudine,chilometri,STRADA,feriti
45.132780669149255,7.730560832176335,0,A04,1
44.537017009762586,11.364559577409477,0,A13,9
45.13801380511592,7.740940456833277,1,A04,2
44.54517371540387,11.369878882609786,1,A13,1
45.14319703935363,7.751375839545616,2,A04,14
44.55333652491864,11.375179359077524,2,A13,7
45.148349151336014,7.761814623507072,3,A04,8
44.5615170177683,11.380485211071615,3,A13,16
45.153517943196526,7.772126106736311,4,A04,5
44.569629454766,11.38587058219775,4,A13,3
45.158747031158775,7.782644880456751,5,A04,5
45.16393584335631,7.793129330582283,6,A04,5
44.585914998590106,11.396584765402574,6,A13,5
44.59405944906023,11.401940153232228,7,A13,2
45.17427996156125,7.813976847362474,8,A04,6
44.6022359444133,11.407211776798077,8,A13,6
45.17946735898708,7.824415779024707,9,A04,5
44.61040400826962,11.4124207231727,9,A13,3
45.184640749952926,7.834811490917975,10,A04,5
44.61867517287524,11.417435769674748,10,A13,6
45.189908296008205,7.8451632583731055,11,A04,3
44.63406100904738,11.430513275457836,11,A13,1
45.19483765519745,7.855913233507468,12,A04,8
44.64164270084986,11.437258833354798,13,A13,3
45.20430649009416,7.877551895132858,14,A04,4
44.64904933584406,11.44439918328317,14,A13,3
44.656457785688566,11.451661548482544,15,A13,3
45.21373355949216,7.899350749175585,16,A04,8
44.663852074430174,11.458835001575544,16,A13,1
44.67131422860255,11.46599195344581,17,A13,5
45.22276452273553,7.921383141888504,18,A04,5
44.678902337903175,11.472615239734916,18,A13,2
44.68674517418921,11.478838087104558,19,A13,1
45.23178056005215,7.943463273069102,20,A04,1
44.69446598039888,11.485286964777377,20,A13,2
45.236162408238336,7.954455898932828,21,A04,1
44.70227703352077,11.491529913913476,21,A13,1
44.71009674434716,11.49778500967532,22,A13,2
45.24384922410432,7.977743211934716,23,A04,7
44.71794622251449,11.504053204931711,23,A13,1
45.2483820858818,7.98862407829497,24,A04,4
45.25412830809466,7.998651949335091,25,A04,1
44.73358677405329,11.516566614604148,25,A13,1
45.26801410699134,8.014772642515352,27,A04,1
44.74934321078481,11.528676351327691,27,A13,2
44.75750228090808,11.533985091802244,28,A13,1
45.282276108359895,8.030258262087328,29,A04,2
44.76566084383734,11.539353061979554,29,A13,4
45.28950266676772,8.038128971313261,30,A04,6
44.77383264613536,11.544687220993431,30,A13,5
45.29662788155997,8.045896266041948,31,A04,1
45.3036865360608,8.053609560549319,32,A04,1
44.79072298944203,11.55247228663022,32,A13,3
44.79978568420975,11.553317020862508,33,A13,2
45.31789969092336,8.069259811651515,34,A04,3
44.80877856379865,11.554166710088658,34,A13,3
45.32516258538056,8.07694403754792,35,A04,1
44.817722013609554,11.555522457931128,35,A13,8
45.332345944997215,8.084630469656531,36,A04,2
45.33949105251727,8.092362987382376,37,A04,1
44.843923103264366,11.564724620504354,37,A13,1
45.35381035009366,8.107920165616683,39,A04,2
44.86145223010861,11.5699954774292,39,A13,5
45.368148434177655,8.12336114952293,41,A04,1
44.87943162821252,11.570132217548384,41,A13,13
44.888819794094246,11.570151871403732,42,A13,3
45.38239889777119,8.13893965424215,43,A04,4
44.89749263937343,11.570177427587709,43,A13,11
45.38951992838135,8.146811141321242,44,A04,1
45.39669210625449,8.15454286954406,45,A04,2
45.40377710239819,8.16235559476655,46,A04,3
44.92029624592133,11.586124319208968,46,A13,1
44.925889036137626,11.59590668438968,47,A13,4
