chilometri,COMUNE,FLOW,longitudine,latitudine
0,Bologna,16126,11.342795,44.493883
1,Bologna,16126,11.342795,44.493883
2,Bologna,16126,11.342795,44.493883
21,Bologna,16126,11.342795,44.493883
0,Milano,69393,9.190617,45.466621
0,Milano,69393,9.190617,45.466621
123,Milano,69393,9.190617,45.466621
123,Milano,69393,9.190617,45.466621
124,Milano,69393,9.190617,45.466621
124,Milano,69393,9.190617,45.466621
125,Milano,69393,9.190617,45.466621
125,Milano,69393,9.190617,45.466621
126,Milano,69393,9.190617,45.466621
126,Milano,69393,9.190617,45.466621
127,Milano,69393,9.190617,45.466621
127,Milano,69393,9.190617,45.466621
129,Milano,69393,9.190617,45.466621
129,Milano,69393,9.190617,45.466621
130,Milano,69393,9.190617,45.466621
130,Milano,69393,9.190617,45.466621
133,Milano,69393,9.190617,45.466621
133,Milano,69393,9.190617,45.466621
0,Torino,6720,7.673147,45.071686
33,Ferrara,12126,11.61912,44.837083
34,Ferrara,12126,11.61912,44.837083
35,Ferrara,12126,11.61912,44.837083
37,Ferrara,12126,11.61912,44.837083
39,Ferrara,12126,11.61912,44.837083
41,Ferrara,12126,11.61912,44.837083
42,Ferrara,12126,11.61912,44.837083
43,Ferrara,12126,11.61912,44.837083
46,Ferrara,12126,11.61912,44.837083
47,Ferrara,12126,11.61912,44.837083
70,Recetto,32,8.435731,45.460364
71,Rovigo,54632,11.790074,45.070927
76,Stanghella,1924,11.75741,45.135086
80,Stanghella,1924,11.75741,45.135086
81,Stanghella,1924,11.75741,45.135086
82,Monselice,43845,11.749008,45.242388
83,Monselice,43845,11.749008,45.242388
84,Monselice,43845,11.749008,45.242388
85,Monselice,43845,11.749008,45.242388
88,Monselice,43845,11.749008,45.242388
89,Monselice,43845,11.749008,45.242388
82,Novara,108,8.616835,45.440565
83,Novara,108,8.616835,45.440565
86,Novara,108,8.616835,45.440565
87,Novara,108,8.616835,45.440565
89,Novara,108,8.616835,45.440565
90,Novara,108,8.616835,45.440565
83,Pozzonovo,3516,11.79171,45.196288
91,Pernumia,11728,11.787209,45.258989
92,Pernumia,11728,11.787209,45.258989
93,Pernumia,11728,11.787209,45.258989
93,Due Carrare,61670,11.821249,45.291339
94,Due Carrare,61670,11.821249,45.291339
95,Due Carrare,61670,11.821249,45.291339
97,Due Carrare,61670,11.821249,45.291339
98,Due Carrare,61670,11.821249,45.291339
99,Due Carrare,61670,11.821249,45.291339
94,Romentino,64,8.719037,45.463966
95,Romentino,64,8.719037,45.463966
96,Romentino,64,8.719037,45.463966
98,Romentino,64,8.719037,45.463966
105,Albignasego,523379,11.867209,45.347492
109,Legnaro,57888,11.964192,45.345649
113,Padova,11659760,11.873363,45.407816
