anno,provincia,comune,giorno,organo_di_rilevazione,localizzazione_incidente,denominazione_della_strada,tronco_di_strada_o_autostrada,tipo_di_strada,pavimentazione,intersezione_o_non_interse3,fondo_stradale,segnaletica,condizioni_meteorologiche,natura_incidente,tipo_veicolo_a,tipo_veicoli__b_,tipo_veicolo__c_,veicolo__a____circostanze_10,veicolo__a____circostanze_11,veicolo__b____circostanze_13,veicolo__b____circostanze_14,veicolo__a___anno_immatric18,immatricolazione_veicolo__b_,immatricolazione_veicolo__c_,veicolo__a___et__conducente,veicolo__a___sesso_conducente,veicolo__a___esito_conducente,veicolo__a___patente_condu29,veicolo__a___anno_rilascio30,veicolo__a___passeggeri_an35,veicolo__a___et__passegger36,veicolo__a___sesso_passegg37,veicolo__a___esito_passegg38,veicolo__a___et__passegger39,veicolo__a___sesso_passegg40,veicolo__a___esito_passegg41,veicolo__a___et__passegger42,veicolo__a___sesso_passegg43,veicolo__a___esito_passegg44,veicolo__a___et__passegger45,veicolo__a___sesso_passegg46,veicolo__a___altri_passegg47,veicolo__a___altri_passegg48,veicolo__a___altri_passegg49,veicolo__a___altri_passegg50,veicolo__b___et__conducente,veicolo__b___sesso_conducente,veicolo__b___esito_conducente,veicolo__b___patente_condu51,veicolo__b___anno_rilascio52,veicolo__b___passeggeri_an57,veicolo__b___et__passegger58,veicolo__b___sesso_passegg59,veicolo__b___esito_passegg60,veicolo__b___et__passegger61,veicolo__b___sesso_passegg62,veicolo__b___esito_passegg63,veicolo__b___et__passegger64,veicolo__b___sesso_passegg65,veicolo__b___esito_passegg66,veicolo__b___et__passegger67,veicolo__b___sesso_passegg68,veicolo__b___altri_passegg69,veicolo__b___altri_passegg70,veicolo__b___altri_passegg71,veicolo__b___altri_passegg72,veicolo__c___et__conducente,veicolo__c___sesso_conducente,veicolo__c___esito_conducente,veicolo__c___patente_condu73,veicolo__c___anno_rilascio74,veicolo__c___passeggeri_an79,veicolo__c___et__passegger80,veicolo__c___sesso_passegg81,veicolo__c___esito_passegg82,veicolo__c___et__passegger83,veicolo__c___sesso_passegg84,veicolo__c___esito_passegg85,veicolo__c___et__passegger86,veicolo__c___sesso_passegg87,veicolo__c___esito_passegg88,veicolo__c___et__passegger89,veicolo__c___sesso_passegg90,veicolo__c___altri_passegg91,veicolo__c___altri_passegg92,veicolo__c___altri_passegg93,veicolo__c___altri_passegg94,pedone_morto_1__sesso,pedone_morto_1__et_,pedone_ferito_1__sesso,pedone_ferito_1__et_,pedone_morto_2__sesso,pedone_morto_2__et_,pedone_ferito_2__sesso,pedone_ferito_2__et_,pedone_morto_3__sesso,pedone_morto_3__et_,pedone_ferito_3__sesso,pedone_ferito_3__et_,pedone_morto_4__sesso,pedone_morto_4__et_,pedone_ferito_4__sesso,pedone_ferito_4__et_,altri_veicoli_coinvolti,morti_maschi_coinvolti_su_95,morti_femmine_coinvolti_su96,feriti_maschi_coinvolti_su97,feriti_femmine_coinvolti_s98,morti_entro_24_ore,morti_entro_30_giorni,feriti,descrizione_strada,Ora,chilometri,ettometrica,trimestre,PRO_COM,COMUNE,PROVINCIA,giorno_num,morti,STRADA
18,17,40,Venerdi,1,7,A04,  ,3,1,Rettilineo,2,Verticale e orizzontale,Sereno,Scontro frontale-laterale,Autovettura privata,Autovettura privata,null,22,  ,20,  ,2018       ,           ,           ,18-29,1,1,2,"(2008,2013]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,45-54,1,2,2,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,                                                         ,3,209,750,1,17040,Castegnato,Brescia,5,0,A04
18,16,91,Mercoledi,1,7,A04,  ,3,1,Rettilineo,1,Verticale e orizzontale,Altro,Tamponamento,Autovettura privata,Autocarro,Autovettura privata,  ,  ,20,  ,2016       ,           ,           ,18-29,1,2,2,"(2008,2013]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,45-54,1,1,3,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,18-29,2,2,2,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,2,                                                         ,15,166,650,1,16091,Dalmine,Bergamo,3,0,A04
18,108,12,Giovedi,1,7,A04,  ,3,1,Rettilineo,1,Verticale e orizzontale,Altro,Tamponamento,Autocarro,Autocarro,null,  ,  ,  ,  ,2013       ,           ,           ,55-64,1,2,2,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,18-29,1,1,3,"(2008,2013]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,                                                         ,12,139,500,1,108012,Brugherio,Monza e della Brianza,4,0,A04
18,15,44,Giovedi,1,7,A04,  ,3,1,Rettilineo,1,Orizzontale,Sereno,Tamponamento,Autocarro,Autovettura privata,Autocarro,20,  ,23,  ,           ,           ,           ,30-44,1,1,2,           ,2,18-29,3, ,     , , ,     , , ,     , ,0,0,0,0,55-64,1,1,2,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,55-64,1,1,4,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,2,0,0,0,0,0,0,1,                                                         ,18,151,424,1,15044,Cambiago,Milano,4,0,A04
18,15,77,Venerdi,1,7,A04,  ,3,1,Rettilineo,1,Verticale e orizzontale,Sereno,Scontro laterale,Autovettura privata,Autovettura privata,null,22,  ,20,  ,2015       ,2016       ,           ,30-44,2,2,2,"(2008,2013]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,18-29,1,1,2,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,                                                         ,22,137,115,1,15077,Cinisello Balsamo,Milano,5,0,A04
18,108,52,Sabato,1,7,A04,  ,3,1,Rettilineo,1,Verticale e orizzontale,Sereno,"Fuoriuscita, sbandamento",Autovettura privata,null,null,72,  ,76,  ,           ,           ,           ,45-54,1,2,2,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,                                                         ,8,147,880,1,108052,Caponago,Monza e della Brianza,6,0,A04
18,108,12,Domenica,1,7,A04,  ,3,1,Rettilineo,1,Verticale e orizzontale,Sereno,Scontro laterale,Autovettura privata,Autovettura privata,null,22,  ,20,  ,           ,           ,           ,18-29,2,2,2,"(2008,2013]",2,18-29,4, ,     , , ,     , , ,     , ,0,0,0,0,55-64,1,1,2,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,2,                                                         ,4,142,600,1,108012,Brugherio,Monza e della Brianza,7,0,A04
18,17,46,Mercoledi,1,7,A04,  ,3,1,Rettilineo,1,Orizzontale,Vento forte,Scontro frontale-laterale,Autovettura privata,Autovettura privata,null,21,  ,20,  ,2016       ,           ,           ,55-64,2,1,2,"(1978,1983]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,65+  ,1,2,2,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,                                                         ,15,204,120,1,17046,Cazzago San Martino,Brescia,3,0,A04
18,17,165,Venerdi,1,7,A04,  ,3,1,Rettilineo,1,Orizzontale,Sereno,Scontro frontale-laterale,Autovettura privata,Trattore stradale o motrice,null,22,  ,20,  ,           ,           ,           ,55-64,1,2,2,"(2013,2018]",2,18-29,4, ,     , , ,     , , ,     , ,0,0,0,0,45-54,1,1,4,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,2,                                                         ,14,214,600,1,17165,Roncadelle,Brescia,5,0,A04
18,16,24,Materdi,1,7,A04,  ,1,1,Rettilineo,1,Verticale e orizzontale,Sereno,Urto con veicolo in fermata o in arresto,Autocarro,Autovettura privata,Autovettura privata,64,  ,61,  ,           ,           ,           ,30-44,1,1,2,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,18-29,1,1,2,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,30-44,1,2,2,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,                                                         ,18,172,400,1,16024,Bergamo,Bergamo,2,0,A04
18,17,46,Mercoledi,1,7,A04,  ,3,1,Rettilineo,1,Verticale e orizzontale,Sereno,Scontro frontale-laterale,Autovettura privata,Autovettura privata,null,23,  ,20,  ,           ,           ,           ,30-44,2,2,2,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,18-29,1,2,2,"(2013,2018]",2,18-29,4,2,18-29,3, ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,4,                                                         ,18,203,425,1,17046,Cazzago San Martino,Brescia,3,0,A04
18,15,77,Giovedi,1,7,A04,  ,3,1,Rettilineo,2,Verticale e orizzontale,Pioggia,Scontro frontale-laterale,Autovettura privata,Autovettura privata,Autovettura privata,20,  ,22,  ,           ,           ,           ,30-44,2,1,2,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,45-54,1,2,2,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,45-54,1,1,2,"(2003,2008]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,4,0,0,1,0,0,0,2,                                                         ,21,136,100,1,15077,Cinisello Balsamo,Milano,4,0,A04
18,17,46,Venerdi,1,7,A04,  ,3,1,Rettilineo,2,Verticale e orizzontale,Pioggia,Scontro frontale-laterale,Autovettura privata,Autovettura privata,null,20,  ,21,  ,           ,           ,           ,18-29,2,2,2,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,30-44,2,2,2,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,2,                                                         ,6,205,200,1,17046,Cazzago San Martino,Brescia,5,0,A04
18,15,14,Venerdi,1,7,A04,  ,3,1,Rettilineo,1,Verticale e orizzontale,Altro,Tamponamento,Autovettura privata,Autovettura privata,null,20,  ,22,  ,           ,           ,           ,45-54,1,2,2,"(2013,2018]",2,6-9  ,4, ,     , , ,     , , ,     , ,0,0,0,0,65+  ,1,1,2,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,2,                                                         ,18,153,230,1,15014,Basiano,Milano,5,0,A04
18,17,136,Sabato,1,7,A04,  ,3,1,Curva,1,Orizzontale,Sereno,Tamponamento,Autocarro,Autovettura privata,Autovettura privata,22,  ,20,  ,2012       ,           ,2018       ,55-64,1,2,3,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,65+  ,1,1,2,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,45-54,1,1,2,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,                                                         ,20,207,750,1,17136,Passirano,Brescia,6,0,A04
18,16,153,Materdi,1,7,A04,  ,3,1,Rettilineo,1,Verticale e orizzontale,Nebbia,Tamponamento,Autovettura privata,Autovettura privata,Autovettura privata,21,  ,21,  ,           ,           ,           ,30-44,2,2,2,           ,2,65+  ,3, ,     , , ,     , , ,     , ,0,0,0,0,18-29,1,1,2,"(2003,2008]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,30-44,1,1,2,"(1988,1993]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,2,                                                         ,19,162,000,1,16153,Osio Sotto,Bergamo,2,0,A04
