osm_id,name,ref,type,oneway,maxspeed,geometry1
3058517,,A4,motorway,1,0,"LINESTRING (9.5883196 45.6261885, 9.5844967 45.6241333, 9.5824147 45.6232199, 9.5800033 45.6223444, 9.5780668 45.6216926, 9.5599073 45.615505)"
4057541,A4,A4,motorway,1,130,"LINESTRING (10.8385431 45.4177987, 10.8419599 45.4177255, 10.8440799 45.4175448, 10.8457364 45.4173219, 10.8475217 45.4170267, 10.8527745 45.4161169, 10.853433 45.41602, 10.8566197 45.415424, 10.8577785 45.4152493, 10.8589715 45.4150927, 10.8604049 45.414936, 10.8617782 45.4148276, 10.8639068 45.414695, 10.868432 45.4144473, 10.870977 45.414308, 10.8730393 45.4141776, 10.8735284 45.4141467, 10.8760604 45.4139901, 10.8804378 45.413731, 10.886218 45.413423, 10.8880853 45.4132912, 10.8898791 45.4131887, 10.8913039 45.4130622, 10.8931321 45.4128453, 10.8942651 45.4126886, 10.8952092 45.412544, 10.8960504 45.4123934, 10.8969087 45.4122126, 10.8982476 45.4119234, 10.8994578 45.4116041, 10.902925 45.410683, 10.9062556 45.4097362, 10.9132516 45.4078835, 10.9161004 45.4070608, 10.9208365 45.4057589, 10.9233158 45.4051742, 10.9272316 45.4041353, 10.9311657 45.4033495, 10.9350817 45.4025776, 10.9561242 45.3982247, 10.9612925 45.3975982, 10.9644749 45.3974134, 10.967902 45.3973402, 10.9707859 45.3971955, 10.9796171 45.3968466, 10.9832873 45.3969419, 10.9894054 45.3977772, 10.9951076 45.3984729, 11.0037268 45.3991708, 11.0273471 45.4016417, 11.0299045 45.401904, 11.0343423 45.4022564, 11.0408152 45.4027753, 11.0563402 45.4043192, 11.0673265 45.4051841, 11.0707825 45.4055575, 11.0733147 45.4060603, 11.0908003 45.4107045, 11.0912258 45.4108196, 11.0950589 45.4118797, 11.1088346 45.4156711, 11.123298 45.4207655, 11.1253928 45.4212269, 11.1278968 45.4216582, 11.1309752 45.4219348, 11.1325488 45.4219489, 11.1610944 45.419768, 11.1720504 45.4192449, 11.174914 45.4189541, 11.1825885 45.4171844, 11.1871398 45.4161349, 11.1903664 45.4153909, 11.1926688 45.4149481, 11.1965943 45.4144431, 11.2254015 45.4116984, 11.2299633 45.4112638, 11.2365409 45.410682, 11.2419666 45.4101482, 11.2475469 45.4095991, 11.2528617 45.4090761, 11.2534123 45.4090168, 11.253456 45.4090126, 11.257726 45.4085996, 11.258151 45.4085585, 11.2601917 45.4085623, 11.2614964 45.4085648, 11.2646054 45.4085706, 11.2700005 45.4088185, 11.2717876 45.4090168, 11.2738396 45.4093477, 11.3152301 45.4191312, 11.318337 45.4200308, 11.3222904 45.4215791, 11.3540092 45.435322, 11.357277 45.4367107, 11.3573954 45.4367611, 11.3589432 45.4374204, 11.3632084 45.4392371, 11.3660467 45.4401944, 11.3701086 45.4411783, 11.3742019 45.4424032, 11.3767964 45.4435201, 11.3768797 45.4435685, 11.3791315 45.4448764, 11.3814256 45.44647, 11.3881037 45.4516597, 11.390909 45.4532975, 11.3966872 45.4558824, 11.3986869 45.4567769, 11.4008854 45.4581716, 11.4048307 45.4614053, 11.4077561 45.4637936, 11.4214395 45.4732597, 11.4218991 45.4736112, 11.4253105 45.4758306, 11.4280222 45.4777408, 11.4298396 45.4792187, 11.4339741 45.4829359, 11.4392701 45.4877294, 11.4424147 45.4906174)"
4531752,Brenner Autobahn,A13,motorway,1,0,"LINESTRING (11.5072597 47.0029374, 11.507518 47.00362, 11.5078624 47.0042188, 11.5084 47.00506, 11.508801 47.005618, 11.5089146 47.0059238, 11.5088899 47.0067399, 11.5087878 47.0077946, 11.5086432 47.0086537, 11.5084816 47.0095212, 11.5081759 47.0105503, 11.5079186 47.0110612, 11.5078574 47.0111826)"
4571471,,A4,motorway,1,0,"LINESTRING (13.281956 45.8951463, 13.2805657 45.8937487, 13.2788972 45.8924873, 13.2772329 45.8915199, 13.2741908 45.8898693, 13.269935 45.887584, 13.2682452 45.8866815, 13.2645959 45.8847232, 13.2622739 45.8835293, 13.2608789 45.8828489, 13.2578323 45.8815425, 13.2570194 45.8812345, 13.2535701 45.8799535, 13.2505312 45.8788272, 13.2145278 45.8656483, 13.2139983 45.8654898, 13.1812535 45.8556902, 13.1746961 45.8536505, 13.1530576 45.8465741, 13.1190274 45.8354383, 13.1160934 45.8344888, 13.1139333 45.8338316, 13.1121782 45.8333432, 13.1082128 45.8324542, 13.1056856 45.8319788, 13.1026805 45.8314932, 13.0875374 45.8293347, 13.052746 45.8242894, 13.0503092 45.8238131, 13.0477206 45.8232646, 13.0454019 45.8227092, 13.0353429 45.8197619, 13.0336788 45.8193684, 13.0317779 45.8189464, 13.0299107 45.8186941, 13.020803 45.8179349, 13.0172894 45.8176219, 13.0088464 45.8169382, 13.0057019 45.8165697, 13.0043903 45.816354, 12.999902 45.8155381, 12.9980151 45.815186, 12.9947792 45.814601, 12.9742716 45.8108999, 12.9686659 45.8099308, 12.9668228 45.8096797, 12.9643907 45.8093674, 12.9615364 45.8091059, 12.9415522 45.8075432, 12.9223762 45.8060275, 12.9128761 45.805258, 12.9100537 45.8050664, 12.9071962 45.8049209, 12.9033997 45.8049257, 12.8983665 45.8050865, 12.8954895 45.8051989, 12.8921343 45.8051823, 12.8896409 45.8050835, 12.8872047 45.8049334, 12.8845468 45.8046998, 12.8814284 45.8043152, 12.8784456 45.8038326, 12.8423954 45.7971771, 12.8386625 45.796321, 12.8360988 45.7956176, 12.8335817 45.794868, 12.8255391 45.792275, 12.821943 45.7912647, 12.8192627 45.7905792, 12.8175789 45.7902058, 12.8149966 45.789721, 12.812379 45.7893063, 12.8105768 45.7890642, 12.8067895 45.7885902, 12.8030854 45.7881051, 12.7985546 45.7873695, 12.793811 45.786301, 12.7894955 45.7851484, 12.7856346 45.7839444, 12.7814772 45.7824358, 12.778042 45.7810095, 12.7744968 45.779302, 12.7725513 45.7783108, 12.7701704 45.7770085, 12.7498839 45.7658693, 12.746561 45.7639074, 12.7381567 45.7584144, 12.7350563 45.7564303, 12.7326464 45.7550459, 12.7294811 45.7533824, 12.727015 45.7522578, 12.722855 45.7505636)"
4638273,A4,A4,motorway,1,130,"LINESTRING (11.692046 45.4832324, 11.6796349 45.4878659, 11.6781157 45.4882871, 11.6626741 45.492515, 11.6608171 45.4930404, 11.642548 45.4994048, 11.6385882 45.5007617, 11.6231116 45.5053309, 11.6176797 45.5069345, 11.6125769 45.5084266, 11.6051053 45.5106112, 11.5999254 45.5121257, 11.5870685 45.5158847, 11.5830649 45.5169304, 11.5802407 45.5172002, 11.5758104 45.5169036, 11.5644121 45.5159173, 11.5611505 45.5157549, 11.5560178 45.5157609, 11.5456838 45.5160556, 11.5336418 45.5169397, 11.5250158 45.5180643, 11.5098238 45.5180824, 11.5058756 45.5180163, 11.5040731 45.5179861, 11.5028464 45.5179091, 11.5022535 45.5178719, 11.5002451 45.517505, 11.4976493 45.516716, 11.4954059 45.5159157, 11.4951286 45.5158168, 11.4950699 45.5157959, 11.4917634 45.5145979, 11.491538 45.5145162, 11.4898939 45.5139205, 11.4819288 45.5110756, 11.4739895 45.5082366, 11.4717064 45.5074065, 11.4680328 45.5062395, 11.4617328 45.5047357, 11.4577675 45.5031716, 11.4557504 45.5020708, 11.4540338 45.5009338, 11.4487896 45.4962533, 11.4428148 45.4911379, 11.4425092 45.4908761, 11.4384641 45.4870836, 11.4349365 45.4839003, 11.4297437 45.4792124, 11.42801 45.4778161, 11.4252376 45.4758782, 11.4219246 45.4737235, 11.4204397 45.4726943, 11.4130754 45.4675841, 11.4087839 45.4645923, 11.4077282 45.463888, 11.4043207 45.4611008, 11.4008445 45.4582351, 11.398673 45.4568504, 11.3909311 45.4533764, 11.3900415 45.4528638, 11.3880344 45.4517073, 11.3813653 45.4465169, 11.3813212 45.4464862, 11.379568 45.4452654, 11.3790908 45.4449331, 11.376782 45.4435842, 11.3742414 45.4424822, 11.3700614 45.4412537, 11.3661046 45.4402901, 11.3631864 45.4393085, 11.3594399 45.4377195, 11.3542686 45.4355263, 11.3459249 45.4319011, 11.3456598 45.4317859, 11.3361068 45.4276418, 11.329515 45.4247745, 11.3238416 45.4223166, 11.322228 45.4216118, 11.3183055 45.4200816, 11.3151813 45.4191719, 11.3057142 45.4169488, 11.296659 45.4148099, 11.2916122 45.4136169, 11.2826686 45.4115201, 11.2760597 45.4099475, 11.273871 45.4094474, 11.2718969 45.4090979, 11.2700429 45.4089051, 11.2646785 45.408652, 11.2581897 45.4086219, 11.2544108 45.4090019, 11.2492633 45.4095197, 11.2473673 45.4097021, 11.2403713 45.4103753, 11.2367382 45.4107181, 11.2316852 45.4111948, 11.2289365 45.4114487, 11.2238574 45.4119178, 11.2143903 45.4128156, 11.2053781 45.4136832, 11.1965804 45.4145147, 11.1927181 45.4149967, 11.1904521 45.4154305, 11.1843753 45.4168343, 11.1755691 45.4188767, 11.1749511 45.4190273, 11.1721015 45.4193104, 11.1638017 45.41969, 11.1612268 45.4198105, 11.1532188 45.420431, 11.1455761 45.42101, 11.1424041 45.4212503, 11.1325336 45.4220094, 11.131023 45.4220094, 11.1279159 45.4217383, 11.1255126 45.4213286, 11.1236673 45.420919, 11.123281 45.4208346, 11.1175647 45.4188104, 11.1103034 45.4162619, 11.1088443 45.4157558, 11.1069303 45.4152317, 11.1043897 45.4145388, 11.0952659 45.4120202, 11.0937499 45.4116106, 11.0885372 45.4102021, 11.0882192 45.4101162, 11.0828634 45.4086942, 11.0790353 45.4076638, 11.0737052 45.4062537, 11.0708385 45.4056632, 11.0667014 45.4051931, 11.0555091 45.4043434, 11.0463424 45.4034335, 11.0409866 45.4029032, 11.0340686 45.4023246, 11.0280261 45.4018305, 11.0226703 45.4012519, 11.0136838 45.4003118, 11.0073066 45.399673, 11.003882 45.3992873, 10.995831 45.3986303, 10.9951959 45.3985821, 10.9895568 45.3978951, 10.9833083 45.3970453, 10.9796605 45.3969428, 10.9745794 45.3971176, 10.9706049 45.3973056, 10.9664255 45.3975033, 10.9642454 45.3975395, 10.9625288 45.3976365, 10.9620052 45.3976661, 10.9612928 45.3977143, 10.956203 45.398323, 10.9475856 45.4000828, 10.9399896 45.4016015, 10.9351048 45.4026769, 10.9312046 45.4034549, 10.9273134 45.4042362, 10.9233602 45.405278, 10.9193048 45.4063117, 10.9132767 45.4080627, 10.9109733 45.4086238, 10.9073005 45.4096072, 10.9052196 45.4101644, 10.8987308 45.4119359, 10.8951259 45.4127011, 10.8927444 45.4130367, 10.8909545 45.4132072, 10.885942 45.4135627, 10.8809123 45.4138158, 10.8727974 45.4143261, 10.8640684 45.4148141, 10.8616565 45.4149587, 10.8602489 45.4150792, 10.8586096 45.4152539, 10.8570045 45.4154949, 10.8517513 45.4163945, 10.848331 45.417003, 10.8457475 45.4174127, 10.8450915 45.4175016, 10.8442369 45.4176175, 10.8420568 45.4178224, 10.8405547 45.4178585, 10.8385767 45.4179109, 10.8359371 45.4178706, 10.8290019 45.4173404, 10.824026 45.4170885, 10.8188525 45.4167139, 10.8144316 45.4164027, 10.8124109 45.4163267, 10.8104927 45.4163554, 10.8080082 45.4165122, 10.8040697 45.4169472, 10.79947 45.4174521, 10.7951401 45.4179745, 10.7924314 45.4184095, 10.787566 45.4195244, 10.7823349 45.4211887, 10.7765422 45.423401, 10.7745853 45.4241178, 10.7725768 45.4246841, 10.7704737 45.4252302, 10.76713 45.4256813, 10.7634376 45.4260445, 10.7571302 45.426668, 10.7507759 45.4272951, 10.7402497 45.4283854, 10.7359224 45.4288379, 10.7309661 45.4293285, 10.7279858 45.4294892, 10.7198067 45.4295334, 10.7126351 45.4294698, 10.7085792 45.4294289, 10.7060842 45.4294062, 10.7029093 45.4293844)"
4784935,,A4,motorway,1,0,"LINESTRING (11.9583563 45.4222944, 11.9607668 45.4227745)"
4847199,,A4,motorway,1,0,"LINESTRING (12.3593272 45.5827458, 12.3579663 45.58179, 12.3553368 45.5800621, 12.3532039 45.5787693, 12.3516238 45.5779, 12.3482059 45.5760215)"
4847202,,A4,motorway,1,0,"LINESTRING (12.3595259 45.5827165, 12.3597989 45.5829173)"
4911322,,A4,motorway,1,0,"LINESTRING (9.1304682 45.5206473, 9.1288498 45.5198975, 9.1258653 45.5183263, 9.1229437 45.5164559, 9.122331 45.5161752, 9.121457 45.5158605, 9.1199375 45.5156058, 9.114376 45.5154154, 9.0945319 45.5145373, 9.0910723 45.5143779, 9.0833051 45.5140716, 9.0827643 45.5140355, 9.0775375 45.5137194, 9.0726451 45.5134187, 9.0713695 45.5133124)"
4911382,,A4,motorway,1,0,"LINESTRING (9.0612135 45.5120396, 9.0613827 45.5120611, 9.0619042 45.5121255, 9.0623841 45.5122732, 9.0631963 45.5124208, 9.0642322 45.5125242, 9.0645439 45.51255, 9.0675554 45.5128894, 9.0712227 45.5131858)"
